UF;CIDADE;CIDADE_SIEBEL;ENCERRAMENTO;QTE
DF;BRASILIA;TAGUATINGA;2021-02-01;18475
BA;LAURO DE FREITAS;LAURO DE FREITAS;2021-10-01;5057
RJ;PETROPOLIS;JARDIM ARARAS;2021-12-01;424
RR;BOA VISTA;BOA VISTA;2020-02-01;11578
PR;MARINGA;MARINGA;2020-06-01;3159
MT;SINOP;SINOP;2021-10-01;8318
BA;VITORIA DA CONQUISTA;VITORIA DA CONQUISTA;2020-06-01;3890
PR;CURITIBA;CURITIBA;2020-09-01;50754
ES;NOVA VENECIA;NOVA VENECIA;2021-03-01;3303
MT;VARZEA GRANDE;VARZEA GRANDE;2021-09-01;5070
PA;MARABA;MARABA;2019-12-01;1
SC;CRICIUMA;CIDADE MINEIRA VELHA;2022-01-01;3
RS;VIAMAO;VIAMAO;2020-07-01;18550
RJ;PETROPOLIS;ITAIPAVA;2020-02-01;4
SC;CHAPECO;CHAPECO;2020-07-01;1247
PR;PINHAIS;PINHAIS;2020-04-01;822
BA;BARREIRAS;BARREIRAS;2019-11-01;3806
PR;COLOMBO;ROCA GRANDE;2021-02-01;234
RS;PELOTAS;PELOTAS;2020-04-01;973
PB;JOAO PESSOA;JOAO PESSOA;2020-08-01;2144
PR;COLOMBO;MARACANA;2020-12-01;215
PR;ARAUCARIA;ARAUCARIA;2021-09-01;995
PE;OLINDA;OLINDA;2019-05-01;1434
MG;RIBEIRAO DAS NEVES;JUSTINOPOLIS;2020-11-01;42
GO;APARECIDA DE GOIANIA;APARECIDA DE GOIANIA;2021-10-01;84423
